T272: ['S0', 'S40', 'S14', 'S289737', 'S0', 'T0', 'S00000000', 'S0', 'S0', 'S0', 'S0', 'S0']
T279: ['S0', 'S20', 'S6', 'S218485', 'S0', 'T0', 'S00000000', 'S150', 'S0', 'S2', 'S0', 'S0']
T402: ['S0', 'S10', 'S3', 'S197915', 'S0', 'T0', 'S00000000', 'S0', 'S0', 'S0', 'S0', 'S0']
T401: ['S0', 'S10', 'S7', 'S184397', 'S0', 'T0', 'S00000000', 'S0', 'S0', 'S0', 'S0', 'S0']
T404: ['S0', 'S20', 'S0', 'S203324', 'S0', 'T0', 'S10000000', 'S0', 'S0', 'S0', 'S0', 'S0']
T405: ['S0', 'S20', 'S0', 'S213468', 'S0', 'T0', 'S00000000', 'S0', 'S0', 'S0', 'S0', 'S0']
T407: ['S0', 'S20', 'S7', 'S205598', 'S0', 'T0', 'S00000000', 'S0', 'S0', 'S0', 'S0', 'S0']
T408: ['S0', 'S40', 'S29', 'S182640', 'S0', 'T0', 'S00000000', 'S0', 'S0', 'S0', 'S0', 'S0']
T410: ['S0', 'S20', 'S4', 'S211999', 'S0', 'T0', 'S00000000', 'S0', 'S0', 'S0', 'S0', 'S0']
T411: ['S0', 'S25', 'S12', 'S181267', 'S0', 'T0', 'S00000000', 'S0', 'S0', 'S7', 'S0', 'S0']
T412: ['S0', 'S30', 'S21', 'S188446', 'S0', 'T0', 'S00000000', 'S0', 'S0', 'S0', 'S0', 'S0']
T241: ['S0', 'S30', 'S12', 'S209824', 'S0', 'T0', 'S00000000', 'S500', 'S0', 'S0', 'S5', 'S0']
T415: ['S0', 'S20', 'S9', 'S202823', 'S0', 'T0', 'S00000000', 'S0', 'S0', 'S0', 'S0', 'S0']
T416: ['S0', 'S20', 'S13', 'S217255', 'S0', 'T0', 'S00000000', 'S0', 'S0', 'S0', 'S0', 'S0']
T423: ['S0', 'S20', 'S14', 'S199970', 'S0', 'T0', 'S00000000', 'S0', 'S0', 'S7', 'S0', 'S0']
T413: ['S0', 'S12', 'S2', 'S198337', 'S0', 'T0', 'S00000000', 'S0', 'S0', 'S7', 'S0', 'S0']
T403: ['S0', 'S20', 'S0', 'S197377', 'S0', 'T0', 'S10000000', 'S0', 'S0', 'S7', 'S0', 'S0']
T217: ['S0', 'S35', 'S20', 'S187482', 'S0', 'T0', 'S00000000', 'S100', 'S0', 'S0', 'S0', 'S0']
T522: ['S0', 'S40', 'S0', 'S173021', 'S2500', 'T0', 'S10000000', 'S45', 'S0', 'S0', 'S0', 'S0']
T907: ['S0', 'S40', 'S13', 'S199922', 'S20000', 'T0', 'S00000000', 'S300', 'S0', 'S0', 'S0', 'S0']
T542: ['S0', 'S40', 'S0', 'S201822', 'S5000', 'T0', 'S10000000', 'S150', 'S0', 'S0', 'S0', 'S0']
T229: ['S0', 'S45', 'S27', 'S201636', 'S0', 'T0', 'S00000000', 'S250', 'S0', 'S0', 'S0', 'S0']
T261: ['S0', 'S100', 'S98', 'S187749', 'S0', 'T0', 'S00000000', 'S0', 'S0', 'S0', 'S0', 'S0']
T203: ['S0', 'S200', 'S144', 'S209940', 'S0', 'T0', 'S00000000', 'S0', 'S0', 'S0', 'S0', 'S0']
T204: ['S0', 'S80', 'S2', 'S202781', 'S0', 'T0', 'S00000000', 'S0', 'S0', 'S0', 'S0', 'S0']
T50: ['S0', 'S40', 'S14', 'S179512', 'S2752', 'T0', 'S00000000', 'S100', 'S0', 'S0', 'S0', 'S0']
T51: ['S0', 'S60', 'S18', 'S180567', 'S3960', 'T0', 'S00000000', 'S100', 'S0', 'S0', 'S0', 'S0']
T206: ['S0', 'S80', 'S78', 'S239978', 'S8000', 'T0', 'S00000000', 'S150', 'S0', 'S0', 'S0', 'S0']
T292: ['S0', 'S50', 'S18', 'S206630', 'S5500', 'T0', 'S00000000', 'S0', 'S0', 'S0', 'S0', 'S0']
T222: ['S0', 'S30', 'S10', 'S226572', 'S0', 'T0', 'S00000000', 'S0', 'S0', 'S0', 'S0', 'S0']
T235: ['S0', 'S40', 'S14', 'S225857', 'S0', 'T0', 'S00000000', 'S200', 'S0', 'S0', 'S0', 'S0']
T245: ['S0', 'S25', 'S6', 'S214440', 'S0', 'T0', 'S00000000', 'S200', 'S0', 'S0', 'S5', 'S0']
T280: ['S0', 'S40', 'S26', 'S195967', 'S0', 'T0', 'S00000000', 'S150', 'S0', 'S0', 'S0', 'S0']
T560: ['S0', 'S60', 'S23', 'S166157', 'S8033', 'T0', 'S00000000', 'S0', 'S0', 'S0', 'S0', 'S0']
T529: ['S0', 'S30', 'S24', 'S171281', 'S3500', 'T0', 'S00000000', 'S90', 'S0', 'S0', 'S0', 'S0']
T791: ['S0', 'S60', 'S36', 'S246172', 'S10000', 'T0', 'S00000000', 'S70', 'S0', 'S0', 'S0', 'S0']
T799: ['S0', 'S10', 'S3', 'S167402', 'S750', 'T0', 'S00000000', 'S100', 'S0', 'S0', 'S0', 'S0']
T548: ['S0', 'S30', 'S12', 'S162657', 'S6000', 'T0', 'S00000000', 'S550', 'S0', 'S0', 'S0', 'S0']
T290: ['S0', 'S30', 'S28', 'S217636', 'S0', 'T0', 'S00000000', 'S150', 'S0', 'S0', 'S0', 'S0']
T221: ['S0', 'S30', 'S1', 'S205974', 'S0', 'T0', 'S00000000', 'S100', 'S0', 'S1', 'S0', 'S0']
T227: ['S0', 'S30', 'S25', 'S187812', 'S0', 'T0', 'S00000000', 'S140', 'S0', 'S0', 'S0', 'S0']
T288: ['S0', 'S20', 'S14', 'S208535', 'S0', 'T0', 'S00000000', 'S0', 'S0', 'S0', 'S0', 'S0']
T225: ['S0', 'S30', 'S18', 'S197521', 'S0', 'T0', 'S00000000', 'S100', 'S0', 'S0', 'S0', 'S0']
T780: ['S0', 'S40', 'S19', 'S161187', 'S0', 'T0', 'S00000000', 'S50', 'S0', 'S0', 'S0', 'S0']
T700: ['S0', 'S0', 'S0', 'S167992', 'S0', 'T0', 'S00000000', 'S0', 'S0', 'S0', 'S0', 'S0']
T260: ['S0', 'S100', 'S93', 'S215157', 'S0', 'T0', 'S00000000', 'S90', 'S0', 'S0', 'S0', 'S0']
T233: ['S0', 'S30', 'S21', 'S195902', 'S0', 'T0', 'S00000000', 'S60', 'S0', 'S0', 'S0', 'S0']
T701: ['S0', 'S0', 'S0', 'S141098', 'S0', 'T0', 'S00000000', 'S0', 'S0', 'S0', 'S0', 'S0']
T208: ['S0', 'S40', 'S37', 'S199510', 'S0', 'T0', 'S00000000', 'S0', 'S0', 'S0', 'S0', 'S0']
T710: ['S0', 'S0', 'S0', 'S198329', 'S0', 'T0', 'S00000000', 'S0', 'S0', 'S0', 'S0', 'S0']
T232: ['S0', 'S40', 'S6', 'S202832', 'S0', 'T0', 'S00000000', 'S0', 'S0', 'S0', 'S0', 'S0']
T256: ['S0', 'S30', 'S26', 'S175679', 'S0', 'T0', 'S00000000', 'S0', 'S0', 'S0', 'S0', 'S0']
T32: ['S0', 'S160', 'S110', 'S149950', 'S4000', 'T0', 'S00000000', 'S200', 'S0', 'S0', 'S0', 'S0']
T562: ['S0', 'S300', 'S217', 'S192958', 'S10000', 'T0', 'S00000000', 'S300', 'S0', 'S0', 'S0', 'S0']
T568: ['S0', 'S180', 'S105', 'S175494', 'S9985', 'T0', 'S00000000', 'S0', 'S0', 'S3', 'S0', 'S0']
T263: ['S0', 'S20', 'S7', 'S191104', 'S0', 'T0', 'S00000000', 'S0', 'S0', 'S0', 'S0', 'S0']
T535: ['S0', 'S30', 'S6', 'S181342', 'S0', 'T0', 'S00000000', 'S0', 'S0', 'S0', 'S0', 'S0']
T702: ['S0', 'S0', 'S0', 'S149024', 'S0', 'T0', 'S00000000', 'S500', 'S0', 'S0', 'S0', 'S0']
T275: ['S0', 'S40', 'S14', 'S218761', 'S0', 'T0', 'S00000000', 'S450', 'S0', 'S0', 'S0', 'S0']
T703: ['S0', 'S0', 'S0', 'S157817', 'S0', 'T0', 'S00000000', 'S450', 'S0', 'S0', 'S0', 'S0']
T265: ['S0', 'S40', 'S17', 'S239345', 'S0', 'T0', 'S00000000', 'S600', 'S0', 'S1', 'S0', 'S0']
