T704,S0
T705,S0
T706,S0
T707,S0
T904,S60
T900,S62
T295,S50
T57,S139
T56,S191
T927,S4
T909,S38
T912,S37
T913,S17
T903,S25
T427,S6
T242,S18
T15,S34
T901,S38
T294,S2
T902,S0
T293,S28
T228,S21
T285,S12
T282,S2
T505,S14
T509,S1
T517,S5
T520,S18
T524,S26
T202,S14
T532,S30
T237,S27
T540,S23
T215,S23
T561,S30
T549,S57
T31,S95
T283,S38
T284,S14
T13,S16
T212,S17
T213,S29
T214,S2
T274,S39
T501,S5
T231,S27
T267,S22
T220,S4
T236,S20
T226,S38
T230,S21
T270,S2
T281,S18
T239,S0
T272,S14
T279,S6
T402,S3
T401,S7
T404,S0
T405,S0
T407,S7
T408,S29
T410,S4
T411,S12
T412,S21
T241,S12
T415,S9
T416,S13
T423,S14
T413,S2
T403,S0
T217,S20
T522,S0
T907,S13
T542,S0
T229,S27
T261,S98
T203,S144
T204,S2
T50,S14
T51,S18
T206,S78
T292,S18
T222,S10
T235,S14
T245,S6
T280,S26
T560,S23
T529,S24
T791,S36
T799,S3
T548,S12
T290,S28
T221,S1
T227,S25
T288,S14
T225,S18
T780,S19
T700,S0
T260,S93
T233,S21
T701,S0
T208,S37
T710,S0
T232,S6
T256,S26
T32,S110
T562,S217
T568,S105
T263,S7
T535,S6
T702,S0
T275,S14
T703,S0
T265,S17
T76,S0
T273,S10
T67,S49
T428,S15
T708,S94
T251,S20
T790,S24
T6,S14
T266,S27
T563,S180
T291,S0
T556,S10
T704,S0
T705,S0
T706,S0
T707,S0
T904,S10
T900,S24
T295,S48
T57
S158590
S31570
T56
S151958
S31536
T927
S90037
S25000
T909
S160201
S31355
T912
S165080
S39861
T913
S130045
S40000
T903
S140047
S20000
T427
S213013
S10000
T242
S213650
S0
T15
S172337
S0
T901
S186585
S12505
T294
S184363
S10000
T902
S155895
S0
T293
S197060
S11000
T228
S298710
S0
T285
S235698
S0
T282
S192950
S0
T505
S189736
S1250
T509
S167668
S1523
T517
S172223
S1981
T520
S176710
S2495
T524
S173083
S3010
T202
S175196
S0
T532
S159004
S3998
T237
S194339
S0
T540
S193817
S5035
T215
S224041
S0
T561
S205748
S8030
T549
S187229
S6000
T31
S237728
S8000
T283
S199411
S0
T284
S226280
S0
T13
S184710
S0
T212
S197022
S0
T213
S151668
S0
T214
S184078
S0
T274
S183308
S0
T501
S217440
S999
T231
S172702
S0
T267
S193388
S0
T220
S243674
S0
T236
S229829
S0
T226
S201138
S0
T230
S199915
S0
T270
S224287
S0
T281
S246653
S0
T239
S214620
S0
T272
S289737
S0
T279
S218485
S0
T402
S197915
S0
T401
S184397
S0
T404
S203324
S0
T405
S213468
S0
T407
S205598
S0
T408
S182640
S0
T410
S211999
S0
T411
S181267
S0
T412
S188446
S0
T241
S209824
S0
T415
S202823
S0
T416
S217255
S0
T423
S199970
S0
T413
S198337
S0
T403
S197377
S0
T217
S187482
S0
T522
S173021
S2500
T907
S199922
S20000
T542
S201822
S5000
T229
S201636
S0
T261
S187749
S0
T203
S209940
S0
T204
S202781
S0
T50
S179512
S2752
T51
S180567
S3960
T206
S239978
S8000
T292
S206630
S5500
T222
S226572
S0
T235
S225857
S0
T245
S214440
S0
T280
S195967
S0
T560
S166157
S8033
T529
S171281
S3500
T791
S246172
S10000
T799
S167402
S750
T548
S162657
S6000
T290
S217636
S0
T221
S205974
S0
T227
S187812
S0
T288
S208535
S0
T225
S197521
S0
T780
S161187
S0
T700
S167992
S0
T260
S215157
S0
T233
S195902
S0
T701
S141098
S0
T208
S199510
S0
T710
S198329
S0
T232
S202832
S0
T256
S175679
S0
T32
S149950
S4000
T562
S192958
S10000
T568
S175494
S9985
T263
S191104
S0
T535
S181342
S0
T702
S149024
S0
T275
S218761
S0
T703
S157817
S0
T265
S239345
S0
T76
S189193
S3800
T273
S239209
S0
T67
S218853
S0
T428
S223139
S0
T708
S177222
S0
T251
S215970
S0
T790
S165080
S0
T6
S181320
S0
T266
S205851
S0
T563
S171321
S9992
T291
S286561
S0
T556
S201167
S0
T704
S214899
S0
T705
S156122
S0
T706
S168506
S0
T707
S195504
S0
T904
S200025
S40000
T900
S209105
S9905
T295
S278849
S0
T57
T0
T56
T0
T927
T0
T909
T0
T912
T0
T913
T0
T903
T0
T427
T0
T242
T0
T15
T0
T901
T0
T294
T0
T902
T0
T293
T0
T228
T0
T285
T0
T282
T0
T505
T0
T509
T0
T517
T0
T520
T0
T524
T0
T202
T0
T532
T0
T237
T0
T540
T0
T215
T0
T561
T0
T549
T0
T31
T0
T283
T0
T284
T0
T13
T0
T212
T0
T213
T0
T214
T0
T274
T0
T501
T0
T231
T0
T267
T0
T220
T0
T236
T0
T226
T0
T230
T0
T270
T0
T281
T0
T239
T0
T272
T0
T279
T0
T402
T0
T401
T0
T404
T0
T405
T0
T407
T0
T408
T0
T410
T0
T411
T0
T412
T0
T241
T0
T415
T0
T416
T0
T423
T0
T413
T0
T403
T0
T217
T0
T522
T0
T907
T0
T542
T0
T229
T0
T261
T0
T203
T0
T204
T0
T50
T0
T51
T0
T206
T0
T292
T0
T222
T0
T235
T0
T245
T0
T280
T0
T560
T0
T529
T0
T791
T0
T799
T0
T548
T0
T290
T0
T221
T0
T227
T0
T288
T0
T225
T0
T780
T0
T700
T0
T260
T0
T233
T0
T701
T0
T208
T0
T710
T0
T232
T0
T256
T0
T32
T0
T562
T0
T568
T0
T263
T0
T535
T0
T702
T0
T275
T0
T703
T0
T265
T0
T76
T0
T273
T0
T67
T0
T428
T0
T708
T0
T251
T0
T790
T0
T6
T0
T266
T0
T563
T0
T291
T0
T556
T0
T704
